# SOURMASH-MANIFEST-VERSION: 1.0,,,,,,,,,,
internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
ERR10048385.sig,497015e6a05d3b14070e6c22e71fc41c,497015e6,21,DNA,0,1000,20639851,1,ERR10048385,-
ERR10048385.sig,426e1d4ffd0e5f523722d5ca30ab6371,426e1d4f,31,DNA,0,1000,23668824,1,ERR10048385,-
ERR10048385.sig,63ea8d00d4cd09426e0533ec153e95cf,63ea8d00,51,DNA,0,1000,22062884,1,ERR10048385,-
ERR10048387.sig,73ba0ba7ce8b42d8176eff34e986110d,73ba0ba7,21,DNA,0,1000,17618400,1,ERR10048387,-
ERR10048387.sig,911ea3987498bd73ba342982ab833b1e,911ea398,31,DNA,0,1000,20040246,1,ERR10048387,-
ERR10048387.sig,b5616d1b3fb6a3f2efd1e8af6a512a55,b5616d1b,51,DNA,0,1000,18713067,1,ERR10048387,-
ERR10048388.sig,3a2107d0f81c597207297723f3fe3cde,3a2107d0,21,DNA,0,1000,17779068,1,ERR10048388,-
ERR10048388.sig,c2a8de579b27caf50f946321a017a061,c2a8de57,31,DNA,0,1000,20137524,1,ERR10048388,-
ERR10048388.sig,6f1366c17da8593dfeecb7185730d9d1,6f1366c1,51,DNA,0,1000,18764042,1,ERR10048388,-
ERR10048389.sig,c0a06b1d9997b5aa0067d637e6acf186,c0a06b1d,21,DNA,0,1000,18899389,1,ERR10048389,-
ERR10048389.sig,d3a965926926ad513eac98b270e075d0,d3a96592,31,DNA,0,1000,21506981,1,ERR10048389,-
ERR10048389.sig,112b57ab85db9785e3f52b21e76b93d1,112b57ab,51,DNA,0,1000,20067117,1,ERR10048389,-
ERR10048390.sig,5148335fbee4c137ac5c01613e8843a1,5148335f,21,DNA,0,1000,20535407,1,ERR10048390,-
ERR10048390.sig,b32a6cd829e60d75b8d30045226e0edc,b32a6cd8,31,DNA,0,1000,23394629,1,ERR10048390,-
ERR10048390.sig,21b1cbcf9d040bdcd90bf04d7a7c007d,21b1cbcf,51,DNA,0,1000,21813057,1,ERR10048390,-
ERR10048391.sig,7b767cfc890eed65c8e41c1c8ba7ead9,7b767cfc,21,DNA,0,1000,19060500,1,ERR10048391,-
ERR10048391.sig,c19abc10a35122ca724e4641951ce9ed,c19abc10,31,DNA,0,1000,21886157,1,ERR10048391,-
ERR10048391.sig,8022b20ade32a0a9fe0e5266d0d87f32,8022b20a,51,DNA,0,1000,20418539,1,ERR10048391,-
ERR10048392.sig,e5fe7842835a039332757219b695b3ac,e5fe7842,21,DNA,0,1000,20826043,1,ERR10048392,-
ERR10048392.sig,4afb7d0ba0277401a93da647686b9b8e,4afb7d0b,31,DNA,0,1000,23702408,1,ERR10048392,-
ERR10048392.sig,f33167f7035f6f605514509c4ee23613,f33167f7,51,DNA,0,1000,22067593,1,ERR10048392,-
ERR10048393.sig,e2f57fe76f2e864d18101986eacfbc3c,e2f57fe7,21,DNA,0,1000,21636723,1,ERR10048393,-
ERR10048393.sig,632a25a9f6c87bb823c099c1380e56c1,632a25a9,31,DNA,0,1000,24949830,1,ERR10048393,-
ERR10048393.sig,7056e6c903ed51960276b73c849fa2c9,7056e6c9,51,DNA,0,1000,23248456,1,ERR10048393,-
ERR10048394.sig,c1cada38c11f42e210807ca42973633e,c1cada38,21,DNA,0,1000,15450942,1,ERR10048394,-
ERR10048394.sig,ec92c6933931ae06b199ed02cd8a1a80,ec92c693,31,DNA,0,1000,17419918,1,ERR10048394,-
ERR10048394.sig,6b5a5a82414c4d6959708e831e40cc48,6b5a5a82,51,DNA,0,1000,16289960,1,ERR10048394,-
ERR10048395.sig,1d289513b4f73e617594a94212a65179,1d289513,21,DNA,0,1000,19024990,1,ERR10048395,-
ERR10048395.sig,52a11ae59f434d3c80bc4c645bd1a54f,52a11ae5,31,DNA,0,1000,21721383,1,ERR10048395,-
ERR10048395.sig,b52c92cb515c9e22881caa52ee03edd7,b52c92cb,51,DNA,0,1000,20303378,1,ERR10048395,-
ERR10048396.sig,b392fae393a35ff333ddc5a7d35d2dc8,b392fae3,21,DNA,0,1000,20132988,1,ERR10048396,-
ERR10048396.sig,ebd2b4f4d5b2ed829ef8980318d42683,ebd2b4f4,31,DNA,0,1000,23033250,1,ERR10048396,-
ERR10048396.sig,eac5012a9bded5f4164087d6adc248f9,eac5012a,51,DNA,0,1000,21517293,1,ERR10048396,-
ERR10048397.sig,6249f19299a20fa0e046f6f1d73cdc9a,6249f192,21,DNA,0,1000,19478601,1,ERR10048397,-
